조건,전체점,시편점,시편비율,전체범위mm,시편범위mm,A_용접선IoU,A_argmax,A_편차,B_용접선IoU,B_argmax,B_편차
WELD_D12_L1_A050,194782,2647,1.36,3501x2708x2835,275x270x193,0.0,30,,0.0,0,
WELD_D12_L1_A130,194601,2630,1.35,3558x2476x2809,286x284x186,0.0,8,,0.0,0,62.61
WELD_D12_L1_A140,194633,2599,1.34,3547x2562x3344,293x268x167,0.0,30,,0.0,0,
WELD_D12_L1_A150,194677,2819,1.45,3595x2700x2796,328x251x164,0.0,0,,0.0,0,4.48
WELD_D12_L1_A160,194667,2731,1.4,3546x2478x2720,316x208x119,0.0,2,,0.0,0,
WELD_D12_L1_A170,194725,2872,1.47,3515x2506x2670,314x168x117,0.0,11,,0.0,0,
WELD_D12_L2_A000,192920,3208,1.66,3474x2440x2628,306x151x92,0.0,0,,0.0,0,47.16
WELD_D12_L2_A010,192896,2997,1.55,3503x2433x2631,312x161x123,0.0,0,,0.0,0,
WELD_D12_L2_A020,192771,2926,1.52,3492x2428x2606,315x193x155,0.0,6,,0.0,0,56.33
WELD_D12_L2_A030,192826,2923,1.52,3510x2493x2775,314x239x175,0.0,9,,0.0,0,36.86
WELD_D12_L2_A040,192845,2811,1.46,3460x2432x2582,300x267x219,0.0,6,,0.0,0,40.25
WELD_D12_L2_A050,192730,2698,1.4,3494x2428x2618,283x281x244,0.0,8,,0.0,54,68.06
WELD_D12_L2_A130,192717,2662,1.38,3452x2447x2617,279x272x190,0.0,0,,0.0,0,44.4
WELD_D12_L2_A140,192787,2798,1.45,3480x2491x2604,296x266x178,0.0,28,,0.0,0,55.03
WELD_D12_L2_A150,192894,3062,1.59,3471x2459x2626,318x240x156,0.0,0,,0.0,2,
WELD_D12_L2_A160,192726,2997,1.56,3481x2451x2624,333x211x124,0.0,6,,0.0,0,
WELD_D12_L2_A170,192674,2993,1.55,3479x2454x2610,320x176x92,0.0,5,,0.0,0,
